manager_id,department_id,department_size,department_satisfaction_score,tenure,n_of_reports,training,employee_satisfaction_score
0,76,843,0.22407651434157,6,4,1,0.2773586221959551
1,76,843,0.22407651434157,4,8,1,-0.4496463935390407
2,76,843,0.22407651434157,6,4,1,0.769703440352199
3,76,843,0.22407651434157,6,4,1,-0.1217627027417321
4,76,843,0.22407651434157,6,4,1,1.5261466461142774
5,76,843,0.22407651434157,6,4,1,0.0096073233984832
6,76,843,0.22407651434157,6,4,1,1.7430329196802925
7,76,843,0.22407651434157,6,4,1,0.9532942616291004
8,76,843,0.22407651434157,6,5,1,2.3677795136271187
9,76,843,0.22407651434157,6,4,1,1.2644091105993496
10,76,843,0.22407651434157,6,5,1,-0.5585651911167572
11,76,843,0.22407651434157,4,4,1,-2.054750982195676
12,76,843,0.22407651434157,6,4,1,-0.2407153805769799
13,76,843,0.22407651434157,6,4,1,0.5391267477171304
14,76,843,0.22407651434157,6,4,1,-0.0291514855226349
15,76,843,0.22407651434157,6,1,1,-0.2498958579292691
16,76,843,0.22407651434157,4,4,1,-0.0603209476653074
17,76,843,0.22407651434157,6,4,1,-0.2452304589993686
18,76,843,0.22407651434157,6,4,1,0.6108029104500056
19,76,843,0.22407651434157,6,4,1,0.5558404833099155
20,76,843,0.22407651434157,7,5,1,2.22271556487665
21,76,843,0.22407651434157,5,4,1,-0.0751669545132035
22,76,843,0.22407651434157,5,4,1,0.3141924121780932
23,76,843,0.22407651434157,5,4,1,0.1637035540548882
24,76,843,0.22407651434157,6,4,1,1.2095314860089044
25,76,843,0.22407651434157,6,4,1,0.5499233260074493
26,76,843,0.22407651434157,6,4,1,0.632926037990199
27,76,843,0.22407651434157,6,8,1,0.853921533182822
28,76,843,0.22407651434157,6,4,1,0.4471281470917828
29,76,843,0.22407651434157,5,4,1,1.1874563553647837
30,76,843,0.22407651434157,5,4,1,-0.1157649431706438
31,76,843,0.22407651434157,3,4,1,-1.395034491328394
32,76,843,0.22407651434157,5,4,1,1.0588272597008583
33,76,843,0.22407651434157,5,4,1,0.3823722858528815
34,76,843,0.22407651434157,3,4,1,-1.9199143394692764
35,76,843,0.22407651434157,6,4,1,1.3705049294877245
36,76,843,0.22407651434157,4,4,1,-0.6130787781085852
37,76,843,0.22407651434157,5,2,1,0.2730025535458719
38,76,843,0.22407651434157,6,4,1,-0.2970697904239424
39,76,843,0.22407651434157,6,4,1,1.7823119044005058
40,76,843,0.22407651434157,5,4,1,-0.1452299622654103
